14:09:31  Output dir : /home/amirabbas-kazeminia/Projects/pruning/outputs/nullseye_resnet/f877d4fe/2e26e87f/62acb063
14:09:31  Log dir    : /home/amirabbas-kazeminia/Projects/pruning/logs/nullseye_resnet/f877d4fe/2e26e87f/62acb063
14:09:31  Model: ResNet(
  (blocks): ModuleList(
    (0): ResidualBlock(
      (branch): Sequential(
        (0): Linear(in_features=2, out_features=128, bias=True)
        (1): ReLU()
        (2): Linear(in_features=128, out_features=128, bias=True)
      )
      (shortcut): Linear(in_features=2, out_features=128, bias=False)
      (relu): ReLU()
    )
    (1-2): 2 x ResidualBlock(
      (branch): Sequential(
        (0): Linear(in_features=128, out_features=128, bias=True)
        (1): ReLU()
        (2): Linear(in_features=128, out_features=128, bias=True)
      )
      (shortcut): Identity()
      (relu): ReLU()
    )
  )
  (head): Linear(in_features=128, out_features=1, bias=True)
)
14:09:31  Fitting bullseye(x) with 83329 parameters
14:09:31  === Training ===
14:09:46  Epoch 1650 | train 0.000000 | val 2.155386
14:09:46  Epoch 1700 | train 0.000000 | val 2.154526
14:09:46  Epoch 1750 | train 0.000000 | val 2.154501
14:09:46  Epoch 1800 | train 0.000000 | val 2.154428
14:09:46  Epoch 1850 | train 0.000000 | val 2.154371
14:09:46  Epoch 1900 | train 0.000000 | val 2.154330
14:09:46  Epoch 1950 | train 0.000000 | val 2.154288
14:09:47  Epoch 2000 | train 0.000000 | val 2.154245
14:09:47  Epoch 2050 | train 0.000000 | val 2.154198
14:09:47  Epoch 2100 | train 0.000035 | val 2.164698
14:09:47  Epoch 2150 | train 0.000001 | val 2.149753
14:09:47  Epoch 2200 | train 0.000000 | val 2.150178
14:09:47  Epoch 2250 | train 0.000000 | val 2.150214
14:09:47  Epoch 2300 | train 0.000000 | val 2.150214
14:09:47  Epoch 2350 | train 0.000000 | val 2.150200
14:09:47  Epoch 2400 | train 0.000000 | val 2.150177
14:09:47  Epoch 2450 | train 0.000000 | val 2.150147
14:09:47  Epoch 2500 | train 0.000000 | val 2.150114
14:09:47  Epoch 2550 | train 0.000000 | val 2.150084
14:09:47  Epoch 2600 | train 0.000000 | val 2.150057
14:09:48  Epoch 2650 | train 0.000000 | val 2.150135
14:09:48  Epoch 2700 | train 0.000066 | val 2.145726
14:09:48  Epoch 2750 | train 0.000001 | val 2.143176
14:09:48  Epoch 2800 | train 0.000000 | val 2.143482
14:09:48  Epoch 2850 | train 0.000000 | val 2.143332
14:09:48  Epoch 2900 | train 0.000000 | val 2.143199
14:09:48  Epoch 2950 | train 0.000000 | val 2.143130
14:09:48  Epoch 3000 | train 0.000000 | val 2.143126
14:09:48  Epoch 3050 | train 0.000000 | val 2.143130
14:09:48  Epoch 3100 | train 0.000000 | val 2.143131
14:09:48  Epoch 3150 | train 0.000000 | val 2.143140
14:09:48  Epoch 3200 | train 0.000000 | val 2.143149
14:09:49  Epoch 3250 | train 0.000000 | val 2.143155
14:09:49  Epoch 3300 | train 0.000000 | val 2.143160
14:09:49  Epoch 3350 | train 0.000000 | val 2.143155
14:09:49  Epoch 3400 | train 0.000000 | val 2.143153
14:09:49  Epoch 3450 | train 0.000000 | val 2.143153
14:09:49  Epoch 3500 | train 0.000000 | val 2.143151
14:09:49  Epoch 3550 | train 0.000000 | val 2.143148
14:09:49  Epoch 3600 | train 0.000000 | val 2.143146
14:09:49  Epoch 3650 | train 0.000216 | val 2.124710
14:09:49  Epoch 3700 | train 0.000001 | val 2.126079
14:09:49  Epoch 3750 | train 0.000000 | val 2.125805
14:09:49  Epoch 3800 | train 0.000000 | val 2.125833
14:09:49  Epoch 3850 | train 0.000000 | val 2.125827
14:09:50  Epoch 3900 | train 0.000000 | val 2.125825
14:09:50  Epoch 3950 | train 0.000000 | val 2.125823
14:09:50  Epoch 4000 | train 0.000000 | val 2.125814
14:09:50  Epoch 4050 | train 0.000000 | val 2.125799
14:09:50  Epoch 4100 | train 0.000000 | val 2.125765
14:09:50  Epoch 4150 | train 0.000000 | val 2.125749
14:09:50  Epoch 4200 | train 0.000000 | val 2.125744
14:09:50  Epoch 4250 | train 0.000000 | val 2.125740
14:09:50  Epoch 4300 | train 0.000000 | val 2.125739
14:09:50  Epoch 4350 | train 0.000000 | val 2.125734
14:09:50  Epoch 4400 | train 0.000000 | val 2.125728
14:09:50  Epoch 4450 | train 0.000000 | val 2.125724
14:09:51  Epoch 4500 | train 0.000000 | val 2.125714
14:09:51  Epoch 4550 | train 0.000000 | val 2.125706
14:09:51  Epoch 4600 | train 0.000000 | val 2.125700
14:09:51  Epoch 4650 | train 0.000000 | val 2.125692
14:09:51  Epoch 4700 | train 0.000000 | val 2.125682
14:09:51  Epoch 4750 | train 0.000000 | val 2.125675
14:09:51  Epoch 4800 | train 0.000000 | val 2.125670
14:09:51  Epoch 4850 | train 0.000000 | val 2.125661
14:09:51  Epoch 4900 | train 0.000000 | val 2.125657
14:09:51  Epoch 4950 | train 0.000000 | val 2.125649
14:09:51  Epoch 5000 | train 0.000000 | val 2.125640
14:09:51  Epoch 5050 | train 0.000000 | val 2.125633
14:09:52  Epoch 5100 | train 0.000000 | val 2.125625
14:09:52  Epoch 5150 | train 0.000000 | val 2.125619
14:09:52  Epoch 5200 | train 0.000000 | val 2.125611
14:09:52  Epoch 5250 | train 0.000000 | val 2.125606
14:09:52  Epoch 5300 | train 0.000000 | val 2.125601
14:09:52  Epoch 5350 | train 0.000000 | val 2.125599
14:09:52  Epoch 5400 | train 0.000000 | val 2.125594
14:09:52  Epoch 5450 | train 0.000000 | val 2.125585
14:09:52  Epoch 5500 | train 0.000149 | val 2.098504
14:09:52  Epoch 5550 | train 0.000001 | val 2.106343
14:09:52  Epoch 5600 | train 0.000000 | val 2.106100
14:09:52  Epoch 5650 | train 0.000001 | val 2.106271
14:09:52  Epoch 5700 | train 0.000000 | val 2.106394
14:09:53  Epoch 5750 | train 0.000004 | val 2.106528
14:09:53  Epoch 5800 | train 0.000000 | val 2.105609
14:09:53  Epoch 5850 | train 0.000000 | val 2.105660
14:09:53  Epoch 5900 | train 0.000000 | val 2.105697
14:09:53  Epoch 5950 | train 0.000000 | val 2.105723
14:09:53  Epoch 6000 | train 0.000000 | val 2.105747
14:09:53  Epoch 6050 | train 0.000000 | val 2.105767
14:09:53  Epoch 6100 | train 0.000000 | val 2.105788
14:09:53  Epoch 6150 | train 0.000000 | val 2.105808
14:09:53  Epoch 6200 | train 0.000000 | val 2.105824
14:09:53  Epoch 6250 | train 0.000000 | val 2.105844
14:09:53  Epoch 6300 | train 0.000000 | val 2.105864
14:09:54  Epoch 6350 | train 0.000000 | val 2.105880
14:09:54  Epoch 6400 | train 0.000000 | val 2.105890
14:09:54  Epoch 6450 | train 0.000000 | val 2.105899
14:09:54  Epoch 6500 | train 0.000000 | val 2.105910
14:09:54  Epoch 6550 | train 0.000000 | val 2.105919
14:09:54  Epoch 6600 | train 0.000000 | val 2.105927
14:09:54  Epoch 6650 | train 0.000000 | val 2.105934
14:09:54  Epoch 6700 | train 0.000000 | val 2.105941
14:09:54  Epoch 6750 | train 0.000000 | val 2.105948
14:09:54  Epoch 6800 | train 0.000000 | val 2.105953
14:09:54  Epoch 6850 | train 0.000000 | val 2.105957
14:09:54  Epoch 6900 | train 0.000000 | val 2.105961
14:09:54  Epoch 6950 | train 0.000000 | val 2.105966
14:09:55  Epoch 7000 | train 0.000000 | val 2.105969
14:09:55  Epoch 7050 | train 0.000000 | val 2.105973
14:09:55  Epoch 7100 | train 0.000000 | val 2.105976
14:09:55  Epoch 7150 | train 0.000000 | val 2.105979
14:09:55  Epoch 7200 | train 0.000000 | val 2.105981
14:09:55  Epoch 7250 | train 0.000000 | val 2.105983
14:09:55  Epoch 7300 | train 0.000000 | val 2.105984
14:09:55  Epoch 7350 | train 0.000000 | val 2.105986
14:09:55  Epoch 7400 | train 0.000000 | val 2.105987
14:09:55  Epoch 7450 | train 0.000000 | val 2.105989
14:09:55  Epoch 7500 | train 0.000000 | val 2.105989
14:09:55  Epoch 7550 | train 0.000000 | val 2.105990
14:09:56  Epoch 7600 | train 0.000000 | val 2.105991
14:09:56  Epoch 7650 | train 0.000000 | val 2.105993
14:09:56  Epoch 7700 | train 0.000000 | val 2.105993
