model,arm,cell,seeds,plan_s,solve_s,overhead_s,wall_s,reused
wikitext_opt2.7b,MASH cylinder merge+sum,mash_merge_sum_cylinder,1,25891.885843798053,626.9262123848312,952.0152004470583,27470.827256629942,False
wikitext_opt6.7b,random,random_ridge,1,0.0,11246.530493227765,321.9858660111204,11568.516359238885,False
wikitext_opt6.7b,magnitude,magnitude_mass_ridge,1,0.0,11051.377539648907,329.02224481804296,11380.39978446695,False
wikitext_opt6.7b,MASH full-row ridge,mash_full_medoid_empirical_delta_f,1,15436.015160464915,22381.95437962818,320.33575444086455,38138.30529453396,False
wikitext_opt6.7b,MASH drop,mash_drop_none_delta_f,1,2083.316423413111,1242.1583595473785,319.3349353275262,3644.8097182880156,False
wikitext_opt6.7b,OSSCAR,osscar,1,0.0,8832.301847119117,287.8479145888705,9120.149761707988,False
wikitext_opt6.7b,MASH delete,mash_medoid_none_delta_f,1,2082.9803171390668,3406.4045581065584,324.1269438092131,5813.511819054838,False
wikitext_opt6.7b,MASH merge+sum,mash_merge_sum_delta_f,1,1859.3429321020376,3583.0801446277183,339.7369823034387,5782.160059033195,False
wikitext_opt6.7b,MASH medoid+sum,mash_medoid_sum_delta_f,1,1997.3754879990593,4212.236534681171,323.1838431498036,6532.795865830034,False
wikitext_opt6.7b,MASH merge+ridge,mash_ridge_merge_empirical_delta_f,1,1984.8158769169822,20165.71711272071,327.04025937314145,22477.573249010835,False
wikitext_pythia1.4b,random,random_ridge,3,0.0,3204.5930372333773,499.11877578760823,3703.7118130209856,False
wikitext_pythia1.4b,magnitude,magnitude_mass_ridge,3,0.0,5543.585102225111,507.99127129884437,6051.576373523955,False
wikitext_pythia1.4b,MASH full-row ridge,mash_full_medoid_empirical_delta_f,2,17305.44131433498,4148.975195029867,513.3954991366481,21967.812008501496,False
wikitext_pythia1.4b,MASH drop,mash_drop_none_delta_f,2,16835.615968559985,2756.077358283568,522.5705643644324,20114.263891207986,False
wikitext_pythia1.4b,OSSCAR,osscar,2,0.0,4508.287087523029,507.2043668455444,5015.491454368574,False
wikitext_pythia1.4b,MASH delete,mash_medoid_none_delta_f,2,21563.60540974606,2723.926461755298,510.7817459470825,24798.31361744844,False
wikitext_pythia1.4b,MASH medoid+sum,mash_medoid_sum_delta_f,2,23372.96979724546,2669.267334742588,520.6186968234833,26562.85582881153,False
wikitext_pythia1.4b,MASH medoid+ridge,mash_ridge_medoid_empirical_delta_f,2,23135.573511576047,4028.618239536998,512.7800851224456,27676.97183623549,False
wikitext_pythia2.8b,random,random_ridge,2,0.0,4754.354097625241,500.79950458474923,5255.15360220999,False
wikitext_pythia2.8b,magnitude,magnitude_mass_ridge,2,0.0,7411.008508782135,514.3587851753691,7925.367293957504,False
wikitext_pythia2.8b,MASH full-row ridge,mash_full_medoid_empirical_delta_f,2,5.394686013460159e-07,7047.692623817595,501.06995805958286,7548.762582416646,True
wikitext_pythia2.8b,MASH drop,mash_drop_none_delta_f,2,8.350471034646034e-07,2753.2859525389504,535.226602204144,3288.5125555781415,True
wikitext_pythia2.8b,OSSCAR,osscar,2,0.0,5123.754510392027,503.6415351819596,5627.396045573987,False
wikitext_pythia2.8b,MASH delete,mash_medoid_none_delta_f,2,27943.963681026013,3881.425892543164,514.2660002898192,32339.655573858996,False
wikitext_pythia2.8b,MASH medoid+sum,mash_medoid_sum_delta_f,2,6.048940122127533e-07,2949.7137683973415,515.8661082392791,3465.5798772415146,True
wikitext_pythia2.8b,MASH medoid+ridge,mash_ridge_medoid_empirical_delta_f,2,5.949987098574638e-07,8237.417913194164,508.8590152049437,8746.276928994106,True
wikitext_qwen2.5_7b,random,random_ridge,2,0.0,11442.804100336856,368.6141917100176,11811.418292046874,False
wikitext_qwen2.5_7b,magnitude,magnitude_mass_ridge,2,0.0,15181.873020812398,368.1207906611435,15549.993811473541,False
wikitext_qwen2.5_7b,MASH drop,mash_drop_none_delta_f,2,7.950002327561378e-07,1484.2232355820015,384.3053743769415,1868.5286107539432,True
wikitext_qwen2.5_7b,OSSCAR,osscar,2,0.0,13424.712926726505,367.54545320997386,13792.258379936478,False
wikitext_qwen2.5_7b,MASH delete,mash_medoid_none_delta_f,2,1664.493122556596,2386.986481168773,400.116549223545,4451.596152948914,False
wikitext_qwen2.5_7b,MASH medoid+sum,mash_medoid_sum_delta_f,2,7.544877007603645e-07,2531.6870345643256,437.3107174867764,2968.9977528055897,True
